name,nameEn,levels,category,districts,schoolIds,curriculumV2,instructionLanguages,tuitionMin,tuitionMax
"朗思國際幼稚園(南昌)","THINK INTERNATIONAL KINDERGARTEN (NAM CHEONG)","幼稚園","國際","深水埗區","edb_612782000113;edb_612782000111;edb_612782000112","","",0,0
"德怡國際幼稚園(元朗)","TOPKIDS INTERNATIONAL KINDERGARTEN (YUEN LONG)","幼稚園","國際","元朗區","edb_602000000113;edb_602000000112;edb_602000000111","","",0,0
"多多寶馬山國際幼稚園","TUTOR TIME BRAEMAR HILL INTERNATIONAL KINDERGARTEN","幼稚園","國際","東區","edb_575852000112;edb_575852000111","","",0,0
"多多國際幼稚園（九龍塘）","TUTOR TIME INTERNATIONAL KINDERGARTEN (KOWLOON TONG)","幼稚園","國際","九龍城區","edb_542504000111;edb_542504000112","","",0,0
"多多國際幼稚園（半山）","TUTOR TIME INTERNATIONAL KINDERGARTEN (MID LEVELS)","幼稚園","國際","中西區","edb_593133000111;edb_593133000112","","",0,0
"多多國際幼稚園（形點）","TUTOR TIME INTERNATIONAL KINDERGARTEN (YOHO)","幼稚園","國際","元朗區","edb_605794000111;edb_605794000112","","",0,0
"維多利亞(何文田)國際幼稚園","VICTORIA (HOMANTIN) INTERNATIONAL KINDERGARTEN","幼稚園","國際","九龍城區","edb_618039000112;edb_618039000111","","",105280,206510
"維多利亞（何文田）國際幼兒園","VICTORIA (HOMANTIN) INTERNATIONAL NURSERY","幼稚園","國際","九龍城區","edb_566900000112;edb_566900000113;edb_566900000111","","",105280,206510
"維多利亞(海之戀)國際幼稚園","VICTORIA (OCEAN PRIDE) INTERNATIONAL KINDERGARTEN","幼稚園","國際","荃灣區","edb_619850000111;edb_619850000112","","",102400,127919
"維多利亞（海怡）國際幼稚園","VICTORIA (SOUTH HORIZONS) INTERNATIONAL KINDERGARTEN","幼稚園","國際","南區","edb_216194000111;edb_216194000113;edb_216194000112","","",110520,207140
"滬江維多利亞學校","VICTORIA SHANGHAI ACADEMY","小學;中學","國際","南區","edb_560138000223;edb_560138000233","IB","ENGLISH;PUTONGHUA",181200,255600
"宏廣國際幼稚園","WELLCOME INTERNATIONAL KINDERGARTEN","幼稚園","國際","屯門區","edb_590401000111;edb_590401000113;edb_590401000112","","",0,0
"WEST ISLAND SCHOOL","WEST ISLAND SCHOOL","中學","國際","南區","edb_170992000133","IB","ENGLISH",159400,181100
"WILDERNESS INTERNATIONAL KINDERGARTEN","WILDERNESS INTERNATIONAL KINDERGARTEN","幼稚園","國際","中西區","edb_607215000111;edb_607215000112","","",0,0
"耀中國際幼稚園（根德道）","YEW CHUNG INTERNATIONAL CHILDREN'S HOUSE (KENT ROAD)","幼稚園","國際","九龍城區","edb_566128000111;edb_566128000113;edb_566128000112","","",0,0
"耀中國際幼稚園（窩打老道）","YEW CHUNG INTERNATIONAL CHILDREN'S HOUSE (WATERLOO ROAD)","幼稚園","國際","九龍城區","edb_566110000113","","",0,0
"耀中國際幼稚園(將軍澳)","YEW CHUNG INTERNATIONAL KINDERGARTEN (TSEUNG KWAN O)","幼稚園","國際","西貢區","edb_613517000111;edb_613517000112;edb_613517000113","","",0,0
"耀中國際學校","YEW CHUNG INTERNATIONAL SCHOOL","幼稚園;小學","國際","九龍城區","edb_325147000611;edb_325147000612;edb_325147000613;edb_325147000223;edb_325147000623;edb_325147000423","IB","ENGLISH",134728,265420
"耀中國際學校（中學）","YEW CHUNG INTERNATIONAL SCHOOL - SECONDARY","中學","國際","九龍城區","edb_567450000133","IB","ENGLISH",266040,272140
"港青基信國際幼稚園","YMCA OF HONG KONG CHRISTIAN INTERNATIONAL KINDERGARTEN","幼稚園","國際","油尖旺區","edb_216178000111;edb_216178000113;edb_216178000112","","",71220,125480
"約克國際幼稚園","YORK INTERNATIONAL KINDERGARTEN","幼稚園","國際","九龍城區","edb_581852000111;edb_581852000112;edb_581852000311;edb_581852000312","","",0,0
"YORK INTERNATIONAL PRE-SCHOOL","YORK INTERNATIONAL PRE-SCHOOL","幼稚園","國際","九龍城區","edb_578479000111;edb_578479000112","","",0,0
"YORK INTERNATIONAL PRE-SCHOOL (TUEN MUN)","YORK INTERNATIONAL PRE-SCHOOL (TUEN MUN)","幼稚園","國際","屯門區","edb_616990000112;edb_616990000113;edb_616990000111","","",0,0
"YORK INTERNATIONAL PRE-SCHOOL (WETLAND)","YORK INTERNATIONAL PRE-SCHOOL (WETLAND)","幼稚園","國際","元朗區","edb_621480000112;edb_621480000113;edb_621480000111","","",0,0
"YORK MONTESSORI INTERNATIONAL PRE-SCHOOL (MEI FOO)","YORK MONTESSORI INTERNATIONAL PRE-SCHOOL (MEI FOO)","幼稚園","國際","深水埗區","edb_604615000113;edb_604615000112;edb_604615000111","","",0,0
"YORK MONTESSORI INTERNATIONAL PRE-SCHOOL (TSEUNG KWAN O)","YORK MONTESSORI INTERNATIONAL PRE-SCHOOL (TSEUNG KWAN O)","幼稚園","國際","西貢區","edb_609749000112;edb_609749000111","","",0,0
"YORK MONTESSORI INTERNATIONAL PRE-SCHOOL (YUEN LONG)","YORK MONTESSORI INTERNATIONAL PRE-SCHOOL (YUEN LONG)","幼稚園","國際","元朗區","edb_605441000112;edb_605441000111","","",0,0
"思百德國際幼稚園","ZEBEDEE INTERNATIONAL PRESCHOOL","幼稚園","國際","大埔區","edb_573973000112;edb_573973000111","","",0,0
