id,name,nameEn,level,category,rawCategory,district,district18,curriculumV2,instructionLanguages,tuitionMin,tuitionMax
"edb_590401000111","宏廣國際幼稚園","WELLCOME INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","新界","屯門區","","",0,0
"edb_590401000113","宏廣國際幼稚園","WELLCOME INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","新界","屯門區","","",0,0
"edb_590401000112","宏廣國際幼稚園","WELLCOME INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","新界","屯門區","","",0,0
"edb_170992000133","WEST ISLAND SCHOOL","WEST ISLAND SCHOOL","中學","國際","私立","港島","南區","IB","ENGLISH",159400,181100
"edb_607215000111","WILDERNESS INTERNATIONAL KINDERGARTEN","WILDERNESS INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","港島","中西區","","",0,0
"edb_607215000112","WILDERNESS INTERNATIONAL KINDERGARTEN","WILDERNESS INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","港島","中西區","","",0,0
"edb_566128000111","耀中國際幼稚園（根德道）","YEW CHUNG INTERNATIONAL CHILDREN'S HOUSE (KENT ROAD)","幼稚園","國際","私立","九龍","九龍城區","","",0,0
"edb_566128000113","耀中國際幼稚園（根德道）","YEW CHUNG INTERNATIONAL CHILDREN'S HOUSE (KENT ROAD)","幼稚園","國際","私立","九龍","九龍城區","","",0,0
"edb_566128000112","耀中國際幼稚園（根德道）","YEW CHUNG INTERNATIONAL CHILDREN'S HOUSE (KENT ROAD)","幼稚園","國際","私立","九龍","九龍城區","","",0,0
"edb_566110000113","耀中國際幼稚園（窩打老道）","YEW CHUNG INTERNATIONAL CHILDREN'S HOUSE (WATERLOO ROAD)","幼稚園","國際","私立","九龍","九龍城區","","",0,0
"edb_613517000111","耀中國際幼稚園(將軍澳)","YEW CHUNG INTERNATIONAL KINDERGARTEN (TSEUNG KWAN O)","幼稚園","國際","私立","新界","西貢區","","",0,0
"edb_613517000112","耀中國際幼稚園(將軍澳)","YEW CHUNG INTERNATIONAL KINDERGARTEN (TSEUNG KWAN O)","幼稚園","國際","私立","新界","西貢區","","",0,0
"edb_613517000113","耀中國際幼稚園(將軍澳)","YEW CHUNG INTERNATIONAL KINDERGARTEN (TSEUNG KWAN O)","幼稚園","國際","私立","新界","西貢區","","",0,0
