school_name_en,school_name_zh,edb_id,level,district,baseName
MAPLE BEAR CANADIAN INTERNATIONAL KINDERGARTEN,楓葉小熊加拿大國際幼稚園,edb_613665000111,幼稚園,西貢區,MAPLE BEAR CANADIAN INTERNATIONAL KINDERGARTEN
MAPLE BEAR CANADIAN INTERNATIONAL KINDERGARTEN,楓葉小熊加拿大國際幼稚園,edb_613665000113,幼稚園,西貢區,MAPLE BEAR CANADIAN INTERNATIONAL KINDERGARTEN
MAPLE BEAR CANADIAN INTERNATIONAL KINDERGARTEN,楓葉小熊加拿大國際幼稚園,edb_613665000112,幼稚園,西貢區,MAPLE BEAR CANADIAN INTERNATIONAL KINDERGARTEN
MAPLE BEAR CANADIAN INTERNATIONAL KINDERGARTEN (LOHAS),楓葉小熊加拿大國際幼稚園(康城),edb_616311000112,幼稚園,西貢區,MAPLE BEAR CANADIAN INTERNATIONAL KINDERGARTEN
MAPLE BEAR CANADIAN INTERNATIONAL KINDERGARTEN (LOHAS),楓葉小熊加拿大國際幼稚園(康城),edb_616311000111,幼稚園,西貢區,MAPLE BEAR CANADIAN INTERNATIONAL KINDERGARTEN
MAPLE BEAR CANADIAN INTERNATIONAL KINDERGARTEN (YAU TONG),楓葉小熊加拿大國際幼稚園(油塘),edb_593788000112,幼稚園,觀塘區,MAPLE BEAR CANADIAN INTERNATIONAL KINDERGARTEN
MAPLE BEAR CANADIAN INTERNATIONAL KINDERGARTEN (YAU TONG),楓葉小熊加拿大國際幼稚園(油塘),edb_593788000111,幼稚園,觀塘區,MAPLE BEAR CANADIAN INTERNATIONAL KINDERGARTEN
MASS INTERNATIONAL PRESCHOOL,善行國際幼稚園,edb_600334000211,幼稚園,灣仔區,MASS INTERNATIONAL PRESCHOOL
MASS INTERNATIONAL PRESCHOOL,善行國際幼稚園,edb_600334000212,幼稚園,灣仔區,MASS INTERNATIONAL PRESCHOOL
MIGHTY OAKS INTERNATIONAL KINDERGARTEN,奧恩國際幼稚園,edb_603643000111,幼稚園,中西區,MIGHTY OAKS INTERNATIONAL KINDERGARTEN
MIGHTY OAKS INTERNATIONAL KINDERGARTEN,奧恩國際幼稚園,edb_603643000112,幼稚園,中西區,MIGHTY OAKS INTERNATIONAL KINDERGARTEN
MING WAI INTERNATIONAL KINDERGARTEN,明慧國際幼稚園,edb_566977000111,幼稚園,東區,MING WAI INTERNATIONAL KINDERGARTEN
MING WAI INTERNATIONAL KINDERGARTEN,明慧國際幼稚園,edb_566977000112,幼稚園,東區,MING WAI INTERNATIONAL KINDERGARTEN
MING WAI INTERNATIONAL KINDERGARTEN,明慧國際幼稚園,edb_566977000113,幼稚園,東區,MING WAI INTERNATIONAL KINDERGARTEN
MING WAI INTERNATIONAL KINDERGARTEN (NORTH POINT BRANCH),明慧國際幼稚園（北角分校）,edb_567329000112,幼稚園,東區,MING WAI INTERNATIONAL KINDERGARTEN
MING WAI INTERNATIONAL KINDERGARTEN (NORTH POINT BRANCH),明慧國際幼稚園（北角分校）,edb_567329000111,幼稚園,東區,MING WAI INTERNATIONAL KINDERGARTEN
MING WAI INTERNATIONAL KINDERGARTEN (NORTH POINT BRANCH),明慧國際幼稚園（北角分校）,edb_567329000113,幼稚園,東區,MING WAI INTERNATIONAL KINDERGARTEN
MING WAI INTERNATIONAL KINDERGARTEN (PRINCE EDWARD BRANCH),明慧國際幼稚園(太子分校),edb_583421000112,幼稚園,油尖旺區,MING WAI INTERNATIONAL KINDERGARTEN
MING WAI INTERNATIONAL KINDERGARTEN (PRINCE EDWARD BRANCH),明慧國際幼稚園(太子分校),edb_583421000111,幼稚園,油尖旺區,MING WAI INTERNATIONAL KINDERGARTEN
MING WAI INTERNATIONAL KINDERGARTEN (PRINCE EDWARD BRANCH),明慧國際幼稚園(太子分校),edb_583421000113,幼稚園,油尖旺區,MING WAI INTERNATIONAL KINDERGARTEN
MINK INTERNATIONAL PRE-SCHOOL,明雅國際幼兒學校,edb_567027000111,幼稚園,大埔區,MINK INTERNATIONAL PRE
MINK INTERNATIONAL PRE-SCHOOL,明雅國際幼兒學校,edb_567027000112,幼稚園,大埔區,MINK INTERNATIONAL PRE
MINK INTERNATIONAL PRE-SCHOOL,明雅國際幼兒學校,edb_567027000113,幼稚園,大埔區,MINK INTERNATIONAL PRE
MULBERRY HOUSE INTERNATIONAL KINDERGARTEN,懋柏禮國際幼稚園,edb_601721000112,幼稚園,大埔區,MULBERRY HOUSE INTERNATIONAL KINDERGARTEN
MULBERRY HOUSE INTERNATIONAL KINDERGARTEN,懋柏禮國際幼稚園,edb_601721000111,幼稚園,大埔區,MULBERRY HOUSE INTERNATIONAL KINDERGARTEN
MULBERRY HOUSE INTERNATIONAL KINDERGARTEN SOUTHSIDE,MULBERRY HOUSE INTERNATIONAL KINDERGARTEN SOUTHSIDE,edb_578053000112,幼稚園,南區,MULBERRY HOUSE INTERNATIONAL KINDERGARTEN SOUTHSIDE
